,Symbol,Name
0,DDD,3D Systems
1,MMM,3M pany
2,WBAI,500 Limited
3,WUBA,58
4,EGHT,8x8
5,AHC,AH Belo
6,ATEN,A10 Networks
7,AAC,AAC Holdings
8,AIR,AAR
9,AAN,Aaron39s
10,ABB,ABB Ltd
11,ABT,Abbott Laboratories
12,ABBV,AbbVie
13,ANF,Abercrombie  Fitch pany
14,GCH,Aberdeen Greater China
15,ACP,Aberdeen ome Credit Strategies
16,JEQ,Aberdeen Japan Equity
17,SGF,Aberdeen Singapore
18,ABM,ABM Industries orporated
19,AKR,Acadia Realty
20,ACN,Accenture plc
21,ACCO,Acco Brands
22,ATV,Acorn International
23,ATU,Actuant
24,AYI,Acuity Brands
25,GOLF,Acushnet Holdings
26,ADX,Adams Diversified Equity
27,PEO,Adams Natural Resources
28,AGRO,Adecoagro SA
29,ADNT,Adient plc
30,ATGE,Adtalem Global Education
31,AAP,Advance Auto Parts
32,ADSW,Advanced Disposal Services
33,WMS,Advanced Drainage Systems
34,ASX,Advanced Semiconductor Engineering
35,ASIX,AdvanSix
36,AAV,Advantage Oil  Gas Ltd
37,AVK,Advent Claymore Convertible Securities and ome
38,AGC,Advent Claymore Convertible Securities and ome  II
39,LCM,AdventClaymore Enhanced Growth  ome
40,ACM,AE
41,ANW,Aegean Marine Petroleum Network
42,AEB,Aegon NV
43,AED,Aegon NV
44,AEG,Aegon NV
45,AEH,Aegon NV
46,AEK,Aegon NV
47,AER,Aercap Holdings NV
48,HIVE,Aerohive Networks
49,AJRD,Aerojet Rocketdyne Holdings
50,AET,Aetna
51,AMG,Affiliated Managers Group
52,AFL,Aflac orporated
53,MITT,AG Mortgage Investment
54,MITT^A,AG Mortgage Investment
55,MITT^B,AG Mortgage Investment
56,AGCO,AGCO
57,A,Agilent Technologies
58,AEM,Agnico Eagle Mines Limited
59,ADC,Agree Realty
60,AL,Air Lease
61,APD,Air Products and Chemicals
62,AYR,Aircastle Limited
63,AKS,AK Steel Holding
64,ALP^Q,Alabama Power pany
65,ALG,Alamo Group
66,AGI,Alamos Gold
67,ALK,Alaska Air Group
68,AIN,Albany International
69,ALB,Albemarle
70,AA,Alcoa
71,ALEX,Alexander  Baldwin Holdings
72,ALX,Alexander39s
73,ARE,Alexandria Real Estate Equities
74,ARE^D,Alexandria Real Estate Equities
75,AQN,Algonquin Power  Utilities
76,BABA,Alibaba Group Holding Limited
77,Y,Alleghany
78,ATI,Allegheny Technologies orporated
79,ALLE,Allegion plc
80,AGN,Allergan plc
81,AGN^A,Allergan plc
82,ALE,Allete
83,AKP,Alliance California Municipal ome
84,ADS,Alliance Data Systems
85,AFB,Alliance National Municipal ome
86,AOI,Alliance One International
87,AWF,Alliance World Dollar Government  II
88,AB,AllianceBernstein Holding LP
89,LNT,Alliant Energy
90,CBH,AllianzGI Convertible  ome 2024 Target Term
91,NCV,AllianzGI Convertible  ome
92,NCZ,AllianzGI Convertible  ome  II
93,ACV,AllianzGI Diversified ome  Convertible
94,NIE,AllianzGI Equity  Convertible ome
95,NFJ,AllianzGI NFJ Dividend Interest  Premium Strategy
96,ALSN,Allison Transmission Holdings
97,ALL,Allstate  The
98,ALL^A,Allstate  The
99,ALL^B,Allstate  The
100,ALL^C,Allstate  The
101,ALL^D,Allstate  The
102,ALL^E,Allstate  The
103,ALL^F,Allstate  The
104,ALLY,Ally Financial
105,ALLY^A,Ally Financial
106,ALDW,Alon USA Partners LP
107,AGD,Alpine Global Dynamic Dividend
108,AWP,Alpine Global Premier Properties
109,AOD,Alpine Total Dynamic Dividend
110,AYX,Alteryx
111,ATUS,Altice USA
112,RESI,Altisource Residential
113,MO,Altria Group
114,ACH,Aluminum  of China Limited
115,AMBR,Amber Road
116,ABEV,Ambev SA
117,AMC,AMC Entertainment Holdings
118,AEE,Ameren
119,AMRC,Ameresco
120,AMOV,America Movil SAB de CV
121,AMX,America Movil SAB de CV
122,AAT,American Assets
123,AXL,American Axle  Manufacturing Holdings
124,ACC,American Campus munities
125,AEO,American Eagle Outfitters
126,AEP,American Electric Power pany
127,AEL,American Equity Investment Life Holding pany
128,AXP,American Express pany
129,AFG,American Financial Group
130,AFGE,American Financial Group
131,AFGH,American Financial Group
132,AMH,American Homes 4 Rent
133,AMH^C,American Homes 4 Rent
134,AMH^D,American Homes 4 Rent
135,AMH^E,American Homes 4 Rent
136,AMH^F,American Homes 4 Rent
137,AMH^G,American Homes 4 Rent
138,AIG,American International Group
139,AIG.WS,American International Group
140,AMID,American Midstream Partners LP
141,ARL,American Realty Investors
142,ARA,American Renal Associates Holdings
143,AWR,American States Water pany
144,AMT,American Tower  REIT
145,AMT^B,American Tower  REIT
146,AVD,American Vanguard
147,AWK,American Water Works
148,APU,AmeriGas Partners LP
149,AMP,AMERIPRISE FINANCIAL SERVICES
150,ABC,AmerisourceBergen  Holding Co
151,ANFI,Amira Nature Foods Ltd
152,AMN,AMN Healthcare Services
153,AP,AmpcoPittsburgh
154,APH,Amphenol
155,BETR,Amplify Snack Brands
156,AXR,AMREP
157,AME,AMTEK
158,AFSI^A,Am Financial Services
159,AFSI^B,Am Financial Services
160,AFSI^C,Am Financial Services
161,AFSI^D,Am Financial Services
162,AFSI^E,Am Financial Services
163,AFSI^F,Am Financial Services
164,AFSS,Am Financial Services
165,AFST,Am Financial Services
166,AEUA,Anadarko Petroleum
167,APC,Anadarko Petroleum
168,ANDV,Andeavor
169,ANDX,Andeavor Logistics LP
170,AU,AngloGold Ashanti Limited
171,BUD,AnheuserBusch Inbev SA
172,AXE,Anixter International
173,NLY,Annaly Capital Management
174,NLY^C,Annaly Capital Management
175,NLY^D,Annaly Capital Management
176,NLY^E,Annaly Capital Management
177,NLY^F,Annaly Capital Management
178,AMGP,Antero Midstream GP LP
179,AM,Antero Midstream Partners LP
180,AR,Antero Resources
181,ANTM,Anthem
182,ANTX,Anthem
183,ANH,Anworth Mortgage Asset
184,ANH^A,Anworth Mortgage Asset
185,ANH^B,Anworth Mortgage Asset
186,ANH^C,Anworth Mortgage Asset
187,AON,Aon plc
188,APA,Apache
189,AIV,Apartment Investment and Management pany
190,AIV^A,Apartment Investment and Management pany
191,ARI,Apollo mercial Real Estate Finance
192,ARI^C,Apollo mercial Real Estate Finance
193,APO,Apollo Global Management LLC
194,APO^A,Apollo Global Management LLC
195,AIY,Apollo Investment
196,AFT,Apollo Senior Floating Rate
197,AIF,Apollo Tactical ome
198,APLE,Apple Hospitality REIT
199,AIT,Applied Industrial Technologies
200,ATR,AptarGroup
201,APTV,Aptiv PLC
202,WTR,Aqua America
203,AQ,Aquantia
204,WAAS,AquaVenture Holdings Limited
205,ARMK,Aramark
206,ABR,Arbor Realty
207,ABR^A,Arbor Realty
208,ABR^B,Arbor Realty
209,ABR^C,Arbor Realty
210,ABRN,Arbor Realty
211,ARC,ARC Document Solutions
212,MT,ArcelorMittal
213,ARCH,Arch Coal
214,ADM,ArcherDanielsMidland pany
215,AROC,Archrock
216,ARNC,Arconic
217,ARCO,Arcos Dorados Holdings
218,ARD,Ardagh Group SA
219,ASC,Ardmore Shipping
220,AFC,Ares Capital
221,ACRE,Ares mercial Real Estate
222,ARDC,Ares Dynamic Credit Allocation
223,ARES,Ares Management LP
224,ARES^A,Ares Management LP
225,AGX,Argan
226,ANET,Arista Networks
227,AI,Arlington Asset Investment
228,AI^B,Arlington Asset Investment
229,AIC,Arlington Asset Investment
230,AIW,Arlington Asset Investment
231,AHH,Armada Hoffler Properties
232,ARR,ARMOUR Residential REIT
233,ARR^A,ARMOUR Residential REIT
234,ARR^B,ARMOUR Residential REIT
235,AFI,Armstrong Flooring
236,AWI,Armstrong World Industries
237,ARW,Arrow Electronics
238,AJG,Arthur J Gallagher  Co
239,APAM,Artisan Partners Asset Management
240,ASA,ASA Gold and Precious Metals Limited
241,ABG,Asbury Automotive Group
242,AHP,Ashford Hospitality Prime
243,AHP^B,Ashford Hospitality Prime
244,AHT,Ashford Hospitality
245,AHT^D,Ashford Hospitality
246,AHT^F,Ashford Hospitality
247,AHT^G,Ashford Hospitality
248,AHT^H,Ashford Hospitality
249,AHT^I,Ashford Hospitality
250,ASH,Ashland Global Holdings
251,APB,Asia Pacific   The
252,GRR,Asia Tigers   The
253,ASPN,Aspen Aerogels
254,AHL,Aspen Insurance Holdings Limited
255,AHL^C,Aspen Insurance Holdings Limited
256,AHL^D,Aspen Insurance Holdings Limited
257,ASB,Associated Banc
258,ASB^C,Associated Banc
259,ASB^D,Associated Banc
260,AC,Associated Capital Group
261,AIZ,Assurant
262,AGO,Assured Guaranty Ltd
263,AGO^B,Assured Guaranty Ltd
264,AGO^E,Assured Guaranty Ltd
265,AGO^F,Assured Guaranty Ltd
266,AZN,Astrazeneca PLC
267,HOME,At Home Group
268,T,ATT
269,TBB,ATT
270,ATTO,Atento SA
271,ATH,Athene Holding Ltd
272,ATKR,Atkore International Group
273,AT,Atlantic Power
274,ATO,Atmos Energy
275,AUO,AU Optronics
276,ATHM,Autohome
277,ALV,Autoliv
278,AN,AutoNation
279,AZO,AutoZone
280,AVB,AvalonBay munities
